LA (code),LA (name),EstablishmentName,EstablishmentTypeGroup (name),Gender (name),ReligiousCharacter (name),NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,Street,Address3,Town,County (code),County (name),Postcode,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),GSSLACode (code),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),PropsName,Country (code),Country (name),MSOA (code),LSOA (code),FSM,Latitude,Longitude
839,"Bournemouth, Christchurch and Poole",Kings Bournemouth,Independent schools,Mixed,,74.0,42.0,32.0,,58 Braidley Road,,Bournemouth,9,Dorset,BH2 6LD,K,South West,E06000058,"Bournemouth, Christchurch and Poole",X999999,X999999,408711,91984,"Bournemouth, Christchurch and Poole 038","Bournemouth, Christchurch and Poole 038A",Prime Education and Training Ltd,0,,E02003188,E01015286,,50.72741230922,-1.877947875323090
305,Bromley,Kings London,Independent schools,Mixed,,100.0,54.0,46.0,,25 Beckenham Road,Beckenham,London,99,,BR3 4PR,H,London,E09000006,Bromley,E09000006,E09000006,536705,169465,Bromley 013,Bromley 013C,Prime Education and Training ltd,0,,E02000139,E01000703,,51.40774028849550,-0.03587615349851810
886,Kent,Earlscliffe (Sussex Summer Schools Ltd),Independent schools,Mixed,,123.0,71.0,52.0,,29 Shorncliffe Road,,Folkestone,18,Kent,CT20 2NB,J,South East,E07000112,Folkestone and Hythe,E10000016,E10000016,621725,136091,Folkestone and Hythe 006,Folkestone and Hythe 006A,Dukes Education Group Ltd,0,,E02005107,E01024511,,51.081273777584900,1.164245503329820
212,Wandsworth,Wandsworth Preparatory School,Independent schools,Mixed,,96.0,51.0,45.0,,The Old Library,,London,99,,SW18 2PQ,H,London,E09000032,Wandsworth,E09000032,E09000032,526286,174346,Wandsworth 019,Wandsworth 019B,Bellevue Education Group Ltd,0,,E02000941,E01004512,,51.45401980380050,-0.18385537319157300
350,Bolton,Bolton Islamic Girls School,Independent schools,Girls,,122.0,0.0,122.0,,Weston House,,Bolton,99,,BL3 2AW,B,North West,E08000001,Bolton,E08000001,E08000001,372002,407751,Bolton 022,Bolton 022A,Makkah Academy Trust,0,,E02001005,E01004811,,53.565617463306300,-2.424198855178010
204,Hackney,Vishnitz Girls School,Independent schools,Girls,Orthodox Jewish,474.0,0.0,474.0,,49 Amhurst Park,,,99,,N16 5DL,H,London,E09000012,Hackney,E09000012,E09000012,533170,187932,Hackney 003,Hackney 003D,Vishnitz Girls School Limited,0,,E02000347,E01001807,,51.57453326371380,-0.07970973400167140
211,Tower Hamlets,Buttercup Primary School,Independent schools,Mixed,,113.0,69.0,44.0,,181 Cannon Street Road,,London,99,,E1 2LX,H,London,E09000030,Tower Hamlets,E09000030,E09000030,534576,181263,Tower Hamlets 021,Tower Hamlets 021A,Mrs Rena Begum,0,,E02000884,E01004319,,51.51427044798850,-0.06198126540813080
353,Oldham,Darul Hadis Latifiah Northwest,Independent schools,Boys,,88.0,88.0,0.0,,Plum Street,,Oldham,19,Lancashire,OL8 1TJ,B,North West,E08000004,Oldham,E08000004,E08000004,391679,404448,Oldham 036,Oldham 036B,Darul Hadis Latifiah Northwest,0,,E02007000,E01034233,,53.536614322193000,-2.127018688054430
207,Kensington and Chelsea,The Stewart Bilingual School,Independent schools,Mixed,,70.0,33.0,37.0,,85 Clarendon Road,,London,99,,W11 4XQ,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,524284,180670,Kensington and Chelsea 005,Kensington and Chelsea 005B,Anne henderson-stewart,GB,United Kingdom,E02000581,E01002872,,51.51129685313440,-0.21042989741031800
931,Oxfordshire,Kings Education (Oxford),Independent schools,Mixed,,184.0,81.0,103.0,,St Joseph's Hall,,Oxford,28,Oxfordshire,OX4 2UJ,J,South East,E07000178,Oxford,E10000025,E10000025,454585,204556,Oxford 019,Oxford 019B,Prime Education and Training Ltd,0,,E02007116,E01028531,,51.737062287616000,-1.2109272083979400
