quote_date,region_name,price
2002-06-01,South West,1.8892858
2002-06-01,Wales,1.93125
2002-06-01,West Midlands,1.8961538
2002-06-01,Yorkshire & Humber,1.3791666
2002-07-01,East Anglia,1.7785714
2002-07-01,East Midlands,1.7891666
2002-07-01,London,2.2377777
2002-07-01,North,2.19
2002-07-01,North West,1.921875
2002-07-01,Northern Ireland,1.8433334
2002-07-01,Scotland,2.3611112
2002-07-01,South East,2.0963159
2002-07-01,South West,1.8921429
2002-07-01,Wales,1.8155556
2002-07-01,West Midlands,1.8214285
2002-07-01,Yorkshire & Humber,1.4123077
2002-08-01,East Anglia,1.7569231
2002-08-01,East Midlands,1.8141667
2002-08-01,London,2.2784212
2002-08-01,North,2.152857
2002-08-01,North West,1.9738462
2002-08-01,Northern Ireland,1.8433334
2002-08-01,Scotland,2.4072726
2002-08-01,South East,2.0709093
