quote_date,description,item_id,price,item_name
1993-06-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.9830688,Milk
1993-06-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.69845,Sugar
1993-07-01,BUTTER-HOME PRODUCED-250G,211301,0.69580644,Butter
1993-07-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1118115,Eggs
1993-07-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6555102,Flour
1993-07-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.9936316,Milk
1993-07-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6996482,Sugar
1993-08-01,BUTTER-HOME PRODUCED-250G,211301,0.69210523,Butter
1993-08-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1218001,Eggs
1993-08-01,FLOUR-SELF-RAISING-1.5KG,210201,0.656134,Flour
1993-08-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.98345363,Milk
1993-08-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.70059705,Sugar
1993-09-01,BUTTER-HOME PRODUCED-250G,211301,0.69151044,Butter
1993-09-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1414094,Eggs
1993-09-01,FLOUR-SELF-RAISING-1.5KG,210201,0.64520615,Flour
1993-09-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.9697436,Milk
1993-09-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6993171,Sugar
1993-10-01,BUTTER-HOME PRODUCED-250G,211301,0.69082475,Butter
1993-10-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1594374,Eggs
1993-10-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6240513,Flour
1993-10-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.93735754,Milk
1993-10-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.68842363,Sugar
1993-11-01,BUTTER-HOME PRODUCED-250G,211301,0.69026315,Butter
1993-11-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1453289,Eggs
1993-11-01,FLOUR-SELF-RAISING-1.5KG,210201,0.62743586,Flour
1993-11-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.9107614,Milk
1993-11-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6856,Sugar
1993-12-01,BUTTER-HOME PRODUCED-250G,211301,0.69130206,Butter
1993-12-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1421118,Eggs
1993-12-01,FLOUR-SELF-RAISING-1.5KG,210201,0.61944443,Flour
1993-12-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.90263957,Milk
1993-12-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.68025,Sugar
1994-01-01,BUTTER-HOME PRODUCED-250G,211301,0.69109374,Butter
1994-01-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1454777,Eggs
1994-01-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6178713,Flour
1994-01-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.90050507,Milk
1994-01-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.68103963,Sugar
1994-02-01,BUTTER-HOME PRODUCED-250G,211301,0.68937826,Butter
1994-02-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1570069,Eggs
1994-02-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6151244,Flour
