Date,Region,Mean
1992-08-01,Yorkshire & Humber,0.87857145
1992-09-01,East Anglia,0.8692308
1992-09-01,East Midlands,0.8833334
1992-09-01,London,0.9022222
1992-09-01,North,0.904
1992-09-01,North West,0.8580953
1992-09-01,Northern Ireland,0.87999994
1992-09-01,Scotland,0.88235295
1992-09-01,South East,0.91400003
1992-09-01,South West,0.8826316
1992-09-01,Wales,0.86714286
1992-09-01,West Midlands,0.9168421
1992-09-01,Yorkshire & Humber,0.8692857
1992-10-01,East Anglia,0.87666667
1992-10-01,East Midlands,0.89750004
1992-10-01,London,0.9435295
1992-10-01,North,0.9185714
1992-10-01,North West,0.87
1992-10-01,Northern Ireland,0.88000005
1992-10-01,Scotland,0.8975
1992-10-01,South East,0.9266666
1992-10-01,South West,0.88222224
1992-10-01,Wales,0.87285715
1992-10-01,West Midlands,0.9316667
1992-10-01,Yorkshire & Humber,0.88
1992-11-01,East Anglia,0.8411111
1992-11-01,East Midlands,0.8792308
1992-11-01,London,0.93294114
1992-11-01,North,0.91642857
1992-11-01,North West,0.8638889
1992-11-01,Northern Ireland,0.8866667
1992-11-01,Scotland,0.90375
1992-11-01,South East,0.93050003
1992-11-01,South West,0.90000004
1992-11-01,Wales,0.87142855
1992-11-01,West Midlands,0.9333333
1992-11-01,Yorkshire & Humber,0.87846154
1992-12-01,East Anglia,0.85249996
1992-12-01,East Midlands,0.8766666
1992-12-01,London,0.92749995
1992-12-01,North,0.912
1992-12-01,North West,0.8625
1992-12-01,Northern Ireland,0.886
1992-12-01,Scotland,0.9144444
1992-12-01,South East,0.92454547
1992-12-01,South West,0.886875
1992-12-01,Wales,0.86733335
1992-12-01,West Midlands,0.9289473
1992-12-01,Yorkshire & Humber,0.8725
1993-01-01,East Anglia,0.8633333
1993-01-01,East Midlands,0.8776923
1993-01-01,London,0.9389474
1993-01-01,North,0.92066664
1993-01-01,North West,0.8678947
1993-01-01,Northern Ireland,0.88000005
1993-01-01,Scotland,0.918125
1993-01-01,South East,0.9336842
1993-01-01,South West,0.8946154
1993-01-01,Wales,0.86499995
1993-01-01,West Midlands,0.94
1993-01-01,Yorkshire & Humber,0.8781818
1993-02-01,East Anglia,0.8681818
1993-02-01,East Midlands,0.8633333
1993-02-01,London,0.9289473
1993-02-01,North,0.9152941
1993-02-01,North West,0.8782609
1993-02-01,Northern Ireland,0.89799994
1993-02-01,Scotland,0.90999997
1993-02-01,South East,0.9285714
1993-02-01,South West,0.90066665
1993-02-01,Wales,0.8692857
1993-02-01,West Midlands,0.9327777
1993-02-01,Yorkshire & Humber,0.8966667
1993-03-01,East Anglia,0.8858333
1993-03-01,East Midlands,0.8685714
1993-03-01,London,0.93473685
1993-03-01,North,0.9211111
1993-03-01,North West,0.8879166
1993-03-01,Northern Ireland,0.89799994
1993-03-01,Scotland,0.91866666
1993-03-01,South East,0.9336363
1993-03-01,South West,0.9188889
1993-03-01,Wales,0.89
1993-03-01,West Midlands,0.9422222
1993-03-01,Yorkshire & Humber,0.9230769
1993-04-01,East Anglia,0.87833333
1993-04-01,East Midlands,0.86266667
1993-04-01,London,0.93588233
1993-04-01,North,0.89235294
1993-04-01,North West,0.86875004
1993-04-01,Northern Ireland,0.89799994
1993-04-01,Scotland,0.905625
1993-04-01,South East,0.93227273
1993-04-01,South West,0.90999997
1993-04-01,Wales,0.8757143
1993-04-01,West Midlands,0.9225
1993-04-01,Yorkshire & Humber,0.9025
1993-05-01,East Anglia,0.865
1993-05-01,East Midlands,0.86999995
1993-05-01,London,0.91555554
1993-05-01,North,0.90333337
1993-05-01,North West,0.8768
1993-05-01,Northern Ireland,0.89799994
1993-05-01,Scotland,0.9177778
1993-05-01,South East,0.9260869
1993-05-01,South West,0.93
1993-05-01,Wales,0.85866666
1993-05-01,West Midlands,0.9028572
1993-05-01,Yorkshire & Humber,0.8569231
1993-06-01,East Anglia,0.8476924
1993-06-01,East Midlands,0.88199997
1993-06-01,London,0.90550005
1993-06-01,North,0.91999996
1993-06-01,North West,0.8796
1993-06-01,Northern Ireland,0.91400003
1993-06-01,Scotland,0.91055554
1993-06-01,South East,0.92478263
1993-06-01,South West,0.9255555
1993-06-01,Wales,0.87
1993-06-01,West Midlands,0.9142858
1993-06-01,Yorkshire & Humber,0.8821429
1993-07-01,East Anglia,0.88846153
1993-07-01,East Midlands,0.8846666
1993-07-01,London,0.9238095
1993-07-01,North,0.91166663
1993-07-01,North West,0.8736
1993-07-01,Northern Ireland,0.92200005
1993-07-01,Scotland,0.92117643
1993-07-01,South East,0.9279167
1993-07-01,South West,0.9316667
1993-07-01,Wales,0.90066665
1993-07-01,West Midlands,0.9085714
1993-07-01,Yorkshire & Humber,0.878
1993-08-01,East Anglia,0.8707692
1993-08-01,East Midlands,0.8807143
1993-08-01,London,0.92200005
1993-08-01,North,0.9283334
1993-08-01,North West,0.8725
1993-08-01,Northern Ireland,0.8833334
1993-08-01,Scotland,0.92882353
1993-08-01,South East,0.9452174
1993-08-01,South West,0.928421
1993-08-01,Wales,0.88199997
1993-08-01,West Midlands,0.932381
1993-08-01,Yorkshire & Humber,0.8846666
1993-09-01,East Anglia,0.8892857
1993-09-01,East Midlands,0.878
1993-09-01,London,0.91999996
1993-09-01,North,0.9316667
1993-09-01,North West,0.86875004
1993-09-01,Northern Ireland,0.908
1993-09-01,Scotland,0.9305556
1993-09-01,South East,0.9533334
1993-09-01,South West,0.94578946
1993-09-01,Wales,0.88666666
1993-09-01,West Midlands,0.95150006
